fips	OpsWithSales	TotalSalesHead	SlaughterConnectivity
22127	-0.34829722446483125	-0.19479901723652507	-0.2942807010087756
23001	-0.254035066293148	-0.18371081113458426	-0.2935716198051398
23003	-0.1995724860161755	-0.12078570121610752	-0.3108697531587502
23005	-0.1744359105037266	-0.1917833193912211	-0.2885312964753335
23007	-0.29173992956182127	-0.19569085470906922	-0.2981483986229944
23009	-0.39647566086369157	-0.20294507909914494	-0.3071352697223293
23011	-0.19328834213806323	-0.16331807387579095	-0.29899803598566743
23013	-0.3797179438553923	-0.20047183909796576	-0.30172141284263665
23015	-0.3252553635784197	-0.19813651210800476	-0.2987820186666504
23017	-0.19328834213806323	-0.19230738883385012	-0.2909764101243936
23019	-0.2079513445203251	-0.15275393721647917	-0.30796298017205614
23021	-0.4174228071240656	-0.196159758947211	-0.30771329985992507
23023	-0.4383699533844396	-0.20121656935854387	-0.29551777694065456
23025	-0.17653062512976403	-0.17103200830326054	-0.3042392260923469
23027	-0.2079513445203251	-0.18341659671065216	-0.303253269286139
23029	-0.41532809249802816	-0.20284394289091828	-0.3097267209514803
23031	-0.24565620778899838	-0.19384282035874575	-0.2802901919932998
24001	-0.24146677853692355	-0.19041338347978728	-0.21752550057385084
24003	-0.4278963802542526	-0.20016843047328578	-0.1534215084720542
24005	-0.29802407343993353	-0.18931007939004194	-0.11192831680768567
24009	-0.39228623161161674	-0.20155675478621538	-0.19220216185835748
24011	-0.3797179438553923	-0.158417564877172	-0.13913256149465936
24013	0.17747614667055744	-0.12791120679571294	-0.13304587375969704
24015	-0.28336107105767167	-0.1426954815983007	-0.04571770154366123
24017	-0.3357289367086068	-0.19785149188482054	-0.20832217623333307
24019	-0.4823589605312251	-0.2037541687649582	-0.18539471751557648
24021	0.4414101895512704	-0.03004813403529999	-0.16381356974961822
24023	0.22355986844338038	-0.07427223963259294	-0.23435305441886972
24025	-0.1828147690078763	-0.17477404800764687	-0.07716361996168608
24027	-0.40275980474180373	-0.19737339344593088	-0.15006688006564478
24029	-0.419517521750103	-0.16493625320741745	-0.09458460073652758
24031	-0.3001187880659709	-0.1845290950011454	-0.17395443314188141
24033	-0.40275980474180373	-0.19969033203439615	-0.1795813327933429
24035	-0.40485451936784117	-0.18900667076536196	-0.11873737586767985
24037	-0.23727734928484873	-0.19234416563684165	-0.21093339033888797
24039	-0.4823589605312251	-0.20194291121762623	-0.21221312109427348
24041	-0.4551276703927389	-0.1983755613274496	-0.15762113631047567
24043	0.2926854511026147	-0.05927649821280401	-0.1811929256434459
24045	-0.440464668010477	-0.20127173456303116	-0.19093726441851855
24047	-0.4676959581489633	-0.20277038928493527	-0.20333644173331386
25001	-0.48445367515726256	-0.20452648162777995	-0.2752082213685491
25003	-0.31059236119615796	-0.17974811061224885	-0.16157967930714984
25005	-0.27079278330144724	-0.1910753659336345	-0.2518063745156418
25007	-0.47816953127915035	-0.20402080058664665	-0.26508842356606116
25009	-0.4320858095063274	-0.20086718973012452	-0.2658857022752924
25011	-0.24356149316296094	-0.18603694392379738	-0.2043934216820142
25013	-0.32735007820445716	-0.19509323166045717	-0.18881914496171545
25015	-0.25822449554522275	-0.18954912860948675	-0.1933486061523879
25017	-0.39438094623765413	-0.19304292489368038	-0.2507111245992221
25019	-0.497021962913487	-0.20469197724124175	-0.27970783083895256
25021	-0.4635065288968885	-0.2035335079470091	-0.25238087730276637
25023	-0.440464668010477	-0.20309218631111098	-0.26264641625966195
25027	-0.06551074994978157	-0.18033653946011305	-0.22960551531208412
26001	-0.3755285146033175	-0.18625760474174644	-0.16245013429901062
26003	-0.45303295576670144	-0.19662866318535277	-0.12449226910467837
26005	0.10835056401132304	-0.003155096847756944	0.2614769479290026
26007	-0.1723411958776892	-0.17637383893777764	-0.1792075540458143
26009	-0.34829722446483125	-0.18596339031781434	-0.03785698357975059
26011	-0.3901915169855793	-0.1795182555935519	-0.0996874933014858
26013	-0.4593170996448137	-0.1997546914396313	-0.14176698618768133
26015	0.07902455924679941	-0.0291746849642516	0.27567045945188223
26017	-0.3734337999772801	-0.18682764518811487	-0.06455597845980454
26019	-0.44884352651462667	-0.1952035620694317	0.16225163003075227
26021	-0.3168765050742701	-0.1892365257840589	0.17821744971600528
26023	-0.11578390097467928	-0.09898625124288889	0.1200641144431775
26025	-0.0948367547143052	-0.1286283544540474	0.20938568945216768
